Month,Year,Temperature
April,1943,12.1
May,1943,8.4
June,1943,7.3
July,1943,5.8
August,1943,5.7
September,1943,9.9
October,1943,11.1
November,1943,13.7
December,1943,16
January,1944,17.8
February,1944,16.7
March,1944,15.6
April,1944,13.1
May,1944,8.2
June,1944,5.9
July,1944,7
August,1944,7.3
September,1944,9
October,1944,10.8
November,1944,12.7
December,1944,14.1
January,1945,17
February,1945,16.8
March,1945,13.3
April,1945,12
May,1945,8.4
June,1945,5.4
July,1945,5.5
August,1945,8.8
September,1945,9.4
October,1945,9.6
November,1945,14
December,1945,14.2
January,1946,16.7
February,1946,16.1
April,1946,12.5
May,1946,10.2
June,1946,7.3
July,1946,7.3
August,1946,7.2
September,1946,9.2
October,1946,10.3
November,1946,10.3
December,1946,14
January,1947,15.7
February,1947,15.9
March,1947,15.7
April,1947,12.3
May,1947,8.8
June,1947,7.1
July,1947,6
August,1947,7.4
September,1947,9.7
October,1947,11.4
November,1947,13.4
December,1947,15.9
January,1948,16.6
February,1948,16.5
March,1948,15.6
April,1948,12.7
May,1948,9.7
June,1948,6.4
July,1948,7.9
August,1948,6.9
September,1948,9.1
October,1948,10.8
November,1948,12.6
December,1948,15.2
January,1949,16
February,1949,17.1
March,1949,13.8
April,1949,10.3
May,1949,8.9
June,1949,8.4
July,1949,7.9
August,1949,7.4
September,1949,9.2
October,1949,12.3
November,1949,12.8
December,1949,14.1
January,1950,16.3
February,1950,15.4
March,1950,14.5
April,1950,11.4
May,1950,11.7
June,1950,7
July,1950,5.9
August,1950,6.8
September,1950,9.5
October,1950,11.9
November,1950,14
December,1950,15.8
January,1951,16.6
February,1951,16.1
March,1951,15
April,1951,12.2
May,1951,8.3
June,1951,5.3
July,1951,6.5
August,1951,6.4
September,1951,9.3
October,1951,11.7
November,1951,13.5
December,1951,14
January,1952,15.7
February,1952,16.9
March,1952,14.6
April,1952,12.6
May,1952,9.9
June,1952,7.2
July,1952,5
August,1952,8.2
September,1952,9.4
October,1952,12.2
November,1952,13.9
December,1952,15.8
January,1953,15.5
February,1953,16.3
March,1953,15.3
April,1953,11.8
May,1953,10
June,1953,7.6
July,1953,6.3
August,1953,8.1
September,1953,9.7
October,1953,11.3
November,1953,14.3
December,1953,15.9
January,1954,16.9
February,1954,17.4
March,1954,16.7
April,1954,11.6
May,1954,10
June,1954,8.3
July,1954,6.6
August,1954,7
September,1954,9.1
October,1954,10.4
November,1954,14.9
December,1954,16.5
January,1955,16.8
February,1955,18.1
March,1955,16.4
April,1955,13.8
May,1955,10.7
June,1955,6.4
July,1955,5.7
August,1955,8.2
September,1955,9.6
October,1955,12.1
November,1955,13.4
December,1955,15.6
January,1956,18.7
February,1956,17.2
March,1956,15.1
April,1956,15.1
May,1956,10.5
June,1956,8.1
July,1956,6.9
August,1956,6.9
September,1956,9.4
October,1956,12
November,1956,13.5
December,1956,15.5
January,1957,16.8
February,1957,17.9
March,1957,17
April,1957,14.2
May,1957,10.2
June,1957,7.5
July,1957,5.9
August,1957,8.6
September,1957,9.6
October,1957,11.2
November,1957,13.6
December,1957,14.6
January,1958,16.3
February,1958,18.1
March,1958,16.1
April,1958,11.8
May,1958,9.7
June,1958,6.9
July,1958,5.5
August,1958,7.8
September,1958,8.6
October,1958,12.5
November,1958,13.9
December,1958,17
January,1959,17.9
February,1959,17.4
March,1959,16.2
April,1959,12.5
May,1959,7.6
June,1959,5.8
July,1959,6.4
August,1959,7.7
September,1959,10.1
October,1959,10.3
November,1959,14.1
December,1959,16
January,1960,18.9
February,1960,17.2
March,1960,14.8
April,1960,11.9
May,1960,10.2
June,1960,8.1
July,1960,6.4
August,1960,6.6
September,1960,10.3
October,1960,13.3
November,1960,13.8
December,1960,15.6
January,1961,17.6
February,1961,17.4
March,1961,14.9
April,1961,12
May,1961,10.1
June,1961,6.5
July,1961,6
August,1961,7.1
September,1961,9.6
October,1961,13.3
November,1961,14.7
December,1961,16.9
January,1962,18.4
February,1962,17.2
March,1962,16.2
April,1962,12.9
May,1962,11.9
June,1962,8.4
July,1962,7.3
August,1962,7.5
September,1962,9.7
October,1962,13.3
November,1962,14
December,1962,16.3
January,1963,17.8
February,1963,18.1
March,1963,14.7
April,1963,11.9
May,1963,9.5
June,1963,6.7
July,1963,6.7
August,1963,7.2
September,1963,10.2
October,1963,12.7
November,1963,13.3
December,1963,15.5
January,1964,15
February,1964,17
March,1964,15.1
April,1964,11.3
May,1964,9.1
June,1964,7.1
July,1964,7.5
August,1964,7.9
September,1964,9.6
October,1964,11.5
November,1964,14
December,1964,15.9
January,1965,18.3
February,1965,16.7
March,1965,15.8
April,1965,12.3
May,1965,9.1
June,1965,7.3
July,1965,5.3
August,1965,7.4
September,1965,9.4
October,1965,10.6
November,1965,13
December,1965,15.5
January,1966,16.7
February,1966,19
March,1966,16.6
April,1966,13.1
May,1966,8.6
June,1966,6.7
July,1966,6.4
August,1966,6.2
